id,de,fr,en,,
next,Weiter,Suite,Next,,
end,Ende,Fin,End,,
back,Zurück,Retour,Back,,
home,Zum Anfang,Vers le début,Go to start,,
error,"Ein Fehler ist aufgetreten, bitte versuche es erneut und wenn es immer noch nicht geht, dann melde dich beim Personal.","Une erreur s'est produite, réessaye et si cela ne fonctionne toujours pas, contacte le personnel.","An error has occurred, please try again and if it still doesn't work, contact the staff.",,
jeton,Halte deinen Jeton auf den roten Punkt.,Place ton jeton sur le point rouge.,Hold your token on the red dot.,,
no-jeton,Keinen Jeton dabei? Wende dich an die Kommunikator:innen oder hole einen Jeton an der Museumskasse.,Tu n'as pas de jeton? Adresse-toi à un communicateur ou une communicatrice ou va en chercher un à la caisse du musée.,Don't have a token? Ask the communicators or get a token at the museum's front desk.,,
inactive-warning,Bist du noch da? Dann tippe auf den Screen!,Tu es encore là? Touche l’écran du doigt!,Are you still there? Then tap the screen!,,
station-complete,Hier warst du schon und hast alle Fragen beantwortet.,Tu es déjà venu ici et tu as répondu à toutes les questions.,You’ve been here already and have answered all the questions.,,
station-partly-complete,Da bist du ja wieder. Willst du mit der nächsten Frage weiterfahren?,C’est encore toi. Tu veux aller à la question suivante?,There you are again. Would you like to continue with the next question?,,
station-partly-complete2,Da bist du ja wieder. Willst du dort weiterfahren wo du aufgehört hast?,C'est encore toi. Tu veux continuer là où tu avais arrêté?,There you are again. Would you like to continue where you left off?,,
station-partly-complete.continue,Weiterfahren,Continuer,Continue,,
station-partly-complete.restart,Zum Anfang,Retourner au début,Go to start,,
yes,Ja,Oui,Yes,,
no,Nein,Non,No,,
0,Intro,Introduction,Introduction,,
1,Kleidung,Habillement,Clothes,,
2,Wohnen,Logement,The home,,
3,Mobilität,Mobilité,Mobility,,
4,Ernährung,Alimentation,Food,,
5,Auswertung,Evaluation,Evaluation,,
0.dialogue1,"Hallo, herzlich willkommen auf Planetopia.
Ich begleite dich durch die Ausstellung.","Hello, bienvenue sur Planetopia.
Je vais t’accompagner à travers l’exposition.","Hello, welcome to Planetopia.
I will guide you through the exhibition.",,
0.dialogue2,Erkennst du mich? #0,Tu me reconnais? #0,Do you recognise me? #0,,
0.dialogue3,"Ja, ich weiss, wir Insekten nerven manchmal ein bisschen. Aber wir sind auch sehr nützlich.","Oui, je sais, nous les insectes sommes parfois énervants. Mais nous sommes aussi très utiles.","I know, insects like me can be a bit of a nuisance. But we have our uses too.",,
0.dialogue4,"Wir bestäuben Pflanzen, damit Früchte und Samen entstehen.",Nous pollinisons les plantes pour qu’elles produisent des fruits et des graines.,We pollinate plants to help them make fruits and seeds.,,
0.dialogue5,Einige von uns kontrollieren Schädlinge oder dienen grösseren Tieren als Futter.,Certains d’entre nous régulent les nuisibles ou servent de nourriture aux espèces plus grandes.,Some of us keep pests under control or act as food for bigger animals.,,
